Year,Month,PrimaryType,Location Description,Arrest,Latitude,Longitude
F,K,A,G,0,0,0
G,D,A,O,1,0,0
G,D,A,H,0,0,0
G,D,A,G,0,0,0
G,D,L,H,0,0,0
G,D,M,G,0,0,0
G,B,C,G,0,0,0
G,B,A,G,0,0,0
G,A,A,K,0,0,0
F,C,F,H,1,0,0
F,D,F,A,1,0,0
F,C,F,F,1,0,0
F,C,F,C,1,0,0
F,D,F,L,1,0,0
F,C,F,F,1,0,0
F,D,F,L,1,0,0
F,D,F,H,1,0,0
F,C,F,C,1,0,0
G,D,O,H,1,0,0
G,D,C,G,0,0,0
G,D,B,M,0,0,0
G,D,M,G,0,0,0
G,D,M,G,0,0,0
G,C,C,I,0,0,0
G,C,C,G,0,0,0
G,A,C,G,0,0,0
G,A,E,G,0,0,0
G,C,A,G,0,0,0
G,C,O,G,0,0,0
G,A,M,H,0,41.83069725,-87.61447689
G,A,A,G,0,41.74966568,-87.64522651
G,A,C,E,0,42.00186886,-87.6607567
G,A,H,H,0,41.74934697,-87.55527443
G,A,L,C,0,41.93187492,-87.77598912
G,A,L,H,0,41.92680775,-87.72439529
G,A,A,H,0,41.8718681,-87.74493105
G,A,L,H,0,41.86190518,-87.72261062
G,A,L,H,0,41.67525644,-87.60087573
G,A,M,C,0,41.7467297,-87.60262536
G,A,L,H,0,41.78397314,-87.70327975
G,A,L,C,0,41.77191021,-87.68764171
G,A,A,C,0,41.88301325,-87.68493423
G,A,M,H,0,41.89652642,-87.63902425
G,A,L,G,0,41.67716215,-87.61937271
G,A,A,H,0,41.93196122,-87.71308219
G,A,O,G,0,41.70725795,-87.53770539
G,A,A,C,0,41.70301854,-87.60267004
G,A,A,K,0,41.92171514,-87.66860634
G,A,A,I,0,41.69302227,-87.6279152
G,A,F,K,1,41.89959027,-87.71767117
G,A,F,H,1,41.91045929,-87.6788078
G,A,L,C,0,42.02059812,-87.66643658
G,A,A,H,0,41.92988937,-87.65254283
G,A,A,C,0,42.01083259,-87.67230453
G,A,C,O,0,41.89670179,-87.62638709
G,A,A,H,0,41.89706352,-87.68198223
G,A,O,C,0,41.68626642,-87.61561835
G,A,D,G,0,41.92144856,-87.75361049
G,A,A,H,0,41.88207294,-87.75390412
G,A,M,H,0,41.77696697,-87.71388134
G,A,A,K,0,41.8004424,-87.73157858
G,A,M,H,0,41.7973483,-87.78562421
G,A,A,H,0,41.92807121,-87.77707691
G,A,M,C,0,41.91024893,-87.7739987
G,A,L,H,0,41.81260744,-87.62292538
G,A,D,O,0,41.72921734,-87.6328827
G,A,O,C,0,41.79582346,-87.63186087
G,A,A,H,0,41.84403557,-87.63468522
G,A,O,I,0,41.83107329,-87.62021144
G,A,C,G,0,41.82716189,-87.61173163
G,A,D,H,0,41.88657546,-87.66298096
G,A,L,H,0,41.73995744,-87.56118803
G,D,F,M,1,41.89519912,-87.66460973
G,A,O,G,0,41.8914259,-87.7427022
G,A,M,G,0,41.73624002,-87.69112442
G,A,L,C,0,41.75842654,-87.68796748
G,A,A,J,0,41.75000501,-87.67312565
G,A,L,H,0,41.86620223,-87.72303965
G,A,M,I,0,41.75146446,-87.6440639
G,A,O,O,0,41.7696542,-87.71606686
G,A,A,H,0,41.89060931,-87.64761264
G,A,L,H,0,41.74355755,-87.60137516
G,A,A,K,0,41.90352381,-87.66674162
G,A,M,H,0,41.84382325,-87.72209631
G,A,A,H,0,41.84129036,-87.63905287
G,A,A,H,0,41.91510668,-87.76017839
G,A,A,H,0,41.91008522,-87.70921241
G,A,M,H,0,41.85665798,-87.68405524
G,A,M,H,0,41.84111036,-87.63606755
G,A,L,C,0,41.70567778,-87.60094436
G,A,M,H,0,41.85489874,-87.65878961
G,A,O,G,1,41.80220746,-87.66844928
G,A,L,C,0,41.85574981,-87.72727224
G,A,F,H,1,41.74575938,-87.72686034
G,D,O,C,0,41.85661925,-87.63263949
G,A,D,K,1,41.87879543,-87.73185019
G,A,M,H,0,41.90755791,-87.68837795
G,A,M,H,0,41.7514439,-87.55410205
G,A,M,H,0,41.90153058,-87.66705622
G,A,A,O,0,41.87152057,-87.62593032
G,A,A,H,0,41.88997809,-87.63440518
G,A,M,I,0,41.88071393,-87.72668387
G,A,A,H,0,41.77306055,-87.61032573
G,A,O,G,0,41.92127783,-87.74379388
G,A,M,H,0,41.92333501,-87.73775232
G,A,D,K,0,41.92370837,-87.78344614
G,A,M,C,0,41.74873721,-87.60026458
G,A,L,C,0,41.86990165,-87.71844077
G,D,A,I,1,41.91007391,-87.65310611
G,A,A,H,0,41.91273399,-87.66212315
G,A,O,H,0,41.73503388,-87.54578209
G,A,A,C,0,41.75856041,-87.562728
G,A,C,G,0,41.77095724,-87.5739841
G,A,L,C,0,41.87707218,-87.72665957
G,D,H,C,1,41.86694152,-87.71299884
G,A,D,H,0,41.8281306,-87.66667677
G,A,A,H,0,41.90087411,-87.6674267
G,A,L,G,0,41.86366317,-87.717781
G,A,L,G,0,41.78162939,-87.61444591
G,A,L,C,0,41.8640337,-87.71779213
G,A,L,C,0,41.88042733,-87.75083441
G,A,A,O,0,41.85037262,-87.67519976
G,A,O,I,0,41.67673536,-87.62047192
G,A,L,G,0,41.87646182,-87.66044658
G,A,O,C,0,41.77447601,-87.69449351
G,D,O,L,0,41.96113638,-87.71232503
G,A,A,H,0,41.90335775,-87.76386875
G,A,A,C,0,41.89969438,-87.76556894
G,A,D,H,0,41.86736585,-87.66159198
G,A,A,H,0,41.94272721,-87.64799546
G,A,O,G,0,41.74464725,-87.64629513
G,A,A,H,0,41.90370861,-87.63143792
G,A,M,O,0,41.93884624,-87.74537426
